Chap Num,Scene Num,Speaker,Text,Background Img,Char 1,Char 2,Sounds,Is Special
,77,,"(As you get closer to Kit, he holds a piece of crumpled paper out towards you.)",Outside of Class,Kit Annoyed,,,
,78,Kit,"""You need to stop""",Outside of Class,Kit Annoyed,,,
,79,You,"""Oh- well, hello to you too.""",Outside of Class,Kit Annoyed,,,
,80,Kit,"""I'm not kidding. You need to stop.""",Outside of Class,Kit Annoyed,,,
,81,You,"""Well, can I at least ask a few questions first?""",Outside of Class,Kit Annoyed,,,
,82,Kit,"""I know what you want to ask. And I'm here to tell you to stop.""",Outside of Class,Kit Normal,,,
,83,,(Kit throws the crumpled paper onto the ground.),Outside of Class,Kit Normal,,,
,84,You,"""Hey! I spent a lot of time on that envelope.""",Outside of Class,Kit Normal,,,
,85,Kit,""" Don't get involved in things that don't concern you. You might get hurt if you keep nosing around like that.""",Outside of Class,Kit Normal,,,
,86,You,"""You're getting surprisingly aggressive. Why? Is it 'cuz I'm close to finding out the truth?""",Outside of Class,Kit Normal,,,
,87,,(Kit scoffs and rolls his eyes at you.),Outside of Class,Kit Annoyed,,,
,88,You,"""And why are you trying so hard to hide it anyways? I don't know how you did it but nobody remembers your disappearance except me.""",Outside of Class,Kit Annoyed,,,
,89,You,"""I don't know why you're retaining your memories, but I would suggest you forget everything you know about me if you want a chance at survival.""",Outside of Class,Kit Annoyed,,,
,90,You,""Coach so now you're threatening me.""",Outside of Class,Kit Annoyed,,,
,91,Kit,"""If that's what gets you to stop, then yes, I am threatening you.""",Outside of Class,Kit Annoyed,,,
,92,You,"""Why are you so against me knowing anything? I'm obviously not normal. I remember your disappearance, So tell me about it.""",Outside of Class,Kit Annoyed,,,
,93,,"(With that question, Kit's voice drops and his tone becomes more somber.)",Outside of Class,Kit Normal,,,
,94,Kit,"""Even if I told you anything about it, you wouldn't be able to do anything. So stop asking. You won't help.""",Outside of Class,Kit Normal,,,
,95,,"(Kit looks small when he says that. It's hard to respond to a statement like that, so you remain silent.)",Outside of Class,Kit Normal,,,
,96,,"""*Sigh* I'm going to go now. Keep what I said in mind. Stop snooping around and you won't get hurt.""",Outside of Class,Kit Normal,,,
